news_headline,news_article,news_category,full_text,clean_text,summary
X to be probed over use of personal data of EU users to train Grok,"Ireland's Data Protection Commission (DPC) has started investigating X over the use of personal data of European Union users to train its AI chatbot Grok. Last year, the regulator ended its court proceedings against X after the latter agreed to limit personal data use. DPC has the power to impose fines of up to 4% of a company's global revenue.",technology,"X to be probed over use of personal data of EU users to train Grok. Ireland's Data Protection Commission (DPC) has started investigating X over the use of personal data of European Union users to train its AI chatbot Grok. Last year, the regulator ended its court proceedings against X after the latter agreed to limit personal data use. DPC has the power to impose fines of up to 4% of a company's global revenue.",x probe use personal datum eu user train grok irelands data protection commission dpc start investigate x use personal datum european union user train ai chatbot grok last year regulator end court proceeding x latter agree limit personal datum use dpc power impose fine companys global revenue,X to be probed over use of personal data of EU users to train Grok.
"Zuckerberg could be forced to sell WhatsApp, Instagram if he loses FTC case: Reports","Meta CEO Mark Zuckerberg could reportedly be forced to sell Instagram and WhatsApp if he loses a case by US Federal Trade Commission (FTC) against his firm. FTC alleges Meta bought Instagram and WhatsApp to eliminate competition, effectively giving itself a monopoly. Meta said it faces ample competition in social media, and that regulators approved the acquisitions at the time.",technology,"Zuckerberg could be forced to sell WhatsApp, Instagram if he loses FTC case: Reports. Meta CEO Mark Zuckerberg could reportedly be forced to sell Instagram and WhatsApp if he loses a case by US Federal Trade Commission (FTC) against his firm. FTC alleges Meta bought Instagram and WhatsApp to eliminate competition, effectively giving itself a monopoly. Meta said it faces ample competition in social media, and that regulators approved the acquisitions at the time.",zuckerberg could force sell whatsapp instagram lose ftc case report meta ceo mark zuckerberg could reportedly force sell instagram whatsapp lose case us federal trade commission ftc firm ftc allege meta buy instagram whatsapp eliminate competition effectively give monopoly meta say face ample competition social medium regulator approve acquisition time,"Zuckerberg could be forced to sell WhatsApp, Instagram if he loses FTC case: Reports."
"Left ₹1.5 cr US job, Delhi founder launches 60-Min med delivery","Moved by patients struggling to find medicines, Rajat Gupta, a Delhi-based entrepreneur, quit his ₹1.5 crore US job to launch an online medicine delivery platform in India. It delivers medicines in under 60 minutes, has fulfilled 400+ orders in Delhi, and is expanding to Noida, Mumbai, and more. Soon launching in tier 2 & 3 cities.",technology,"Left ₹1.5 cr US job, Delhi founder launches 60-Min med delivery. Moved by patients struggling to find medicines, Rajat Gupta, a Delhi-based entrepreneur, quit his ₹1.5 crore US job to launch an online medicine delivery platform in India. It delivers medicines in under 60 minutes, has fulfilled 400+ orders in Delhi, and is expanding to Noida, Mumbai, and more. Soon launching in tier 2 & 3 cities.",leave cr us job delhi founder launch min med delivery move patient struggle find medicine rajat gupta delhi base entrepreneur quit crore job launch online medicine delivery platform india deliver medicine minute fulfil order delhi expand noida mumbai soon launch tier city,"Left ₹1.5 cr US job, Delhi founder launches 60-Min med delivery."
"Google, NVIDIA invest in OpenAI co-founder Ilya's SSI: Report","Google parent Alphabet and chipmaker NVIDIA have reportedly invested in OpenAI co-founder and former chief scientist Ilya Sutskever's AI startup Safe Superintelligence (SSI), Reuters reported. The startup was recently valued at $32 billion in a $2-billion funding round led by Greenoaks. SSI has not publicly released any products or services yet.",technology,"Google, NVIDIA invest in OpenAI co-founder Ilya's SSI: Report. Google parent Alphabet and chipmaker NVIDIA have reportedly invested in OpenAI co-founder and former chief scientist Ilya Sutskever's AI startup Safe Superintelligence (SSI), Reuters reported. The startup was recently valued at $32 billion in a $2-billion funding round led by Greenoaks. SSI has not publicly released any products or services yet.",google nvidia invest openai co founder ilyas ssi report google parent alphabet chipmaker nvidia reportedly invest openai co founder former chief scientist ilya sutskever ai startup safe superintelligence ssi reuter report startup recently value billion billion funding round lead greenoak ssi not publicly release product service yet,"Google, NVIDIA invest in OpenAI co-founder Ilya's SSI: Report."
Data centres to consume more electricity than Japan by 2030: Study,"The electricity demand from data centres worldwide will more than double by 2030 to around 945 terawatt-hours (TWh), slightly higher than the power consumption of Japan today, a study by IEA said. The report found that AI will be the most important driver of this growth. Data centres accounted for around 1.5% of the world's electricity consumption in 2024.",technology,"Data centres to consume more electricity than Japan by 2030: Study. The electricity demand from data centres worldwide will more than double by 2030 to around 945 terawatt-hours (TWh), slightly higher than the power consumption of Japan today, a study by IEA said. The report found that AI will be the most important driver of this growth. Data centres accounted for around 1.5% of the world's electricity consumption in 2024.",datum centre consume electricity japan study electricity demand data centre worldwide double around terawatt hour twh slightly high power consumption japan today study iea say report find ai important driver growth datum centre account around world electricity consumption,Data centres to consume more electricity than Japan by 2030: Study.
Delaying hikes prudent in current business environment: TCS CHRO,"TCS CHRO Milind Lakkad said the company thought it was ""prudent"" to defer wage hikes this year, considering the current business environment. ""We'll watch this environment every day...and make a call on what is the first thing that we need to do in terms of giving the wage hikes,"" he added. TCS reported a 1.6% drop in its Q4 profits.",technology,"Delaying hikes prudent in current business environment: TCS CHRO. TCS CHRO Milind Lakkad said the company thought it was ""prudent"" to defer wage hikes this year, considering the current business environment. ""We'll watch this environment every day...and make a call on what is the first thing that we need to do in terms of giving the wage hikes,"" he added. TCS reported a 1.6% drop in its Q4 profits.",delay hike prudent current business environment tcs chro tcs chro milind lakkad say company think prudent defer wage hike year consider current business environment watch environment every day make call first thing need term give wage hike add tcs report drop q profit,Delaying hikes prudent in current business environment: TCS CHRO.
Insights into Quantum Behaviour,"Researchers investigated how external magnetic fields influence the quantum states of electrons in graphene. By applying the concept of Shannon entropy, they revealed intricate relationships between an electron's position and momentum uncertainty. This understanding holds promise for the development of advanced quantum technologies, enhancing capabilities in computing and secure communication.",technology,"Insights into Quantum Behaviour. Researchers investigated how external magnetic fields influence the quantum states of electrons in graphene. By applying the concept of Shannon entropy, they revealed intricate relationships between an electron's position and momentum uncertainty. This understanding holds promise for the development of advanced quantum technologies, enhancing capabilities in computing and secure communication.",insight quantum behaviour researcher investigate external magnetic field influence quantum state electron graphene apply concept shannon entropy reveal intricate relationship electron position momentum uncertainty understanding hold promise development advanced quantum technology enhance capability compute secure communication,Insights into Quantum Behaviour.
Zuckerberg’s Meta to add former Trump advisor to board,"Mark Zuckerberg-led Meta elected Patrick Collison and Dina Powell McCormick to company’s board of directors. Powell McCormick previously served as Deputy National Security Advisor to US President Donald Trump while Patrick Collison is Co-Founder of Stripe, a technology company. ""They bring a lot of experience supporting businesses and entrepreneurs to our board,"" CEO Zuckerberg said.",technology,"Zuckerberg’s Meta to add former Trump advisor to board. Mark Zuckerberg-led Meta elected Patrick Collison and Dina Powell McCormick to company’s board of directors. Powell McCormick previously served as Deputy National Security Advisor to US President Donald Trump while Patrick Collison is Co-Founder of Stripe, a technology company. ""They bring a lot of experience supporting businesses and entrepreneurs to our board,"" CEO Zuckerberg said.",zuckerbergs meta add former trump advisor board mark zuckerberg lead meta elect patrick collison dina powell mccormick companys board director powell mccormick previously serve deputy national security advisor us president donald trump patrick collison co founder stripe technology company bring lot experience support business entrepreneur board ceo zuckerberg say,Zuckerberg’s Meta to add former Trump advisor to board.
India’s electric two-wheeler market: 2024 Growth Outlook,"India’s electric two-wheeler market reached 9,60,000 units in 2024 and is projected to grow at a 28.5% CAGR, hitting 11 million units by 2033 (IMARC). Driven by FAME-II, EMPS 2024, and rising fuel costs, top players like Ola, Ather, and Bajaj lead the sector. Key growth areas include youth adoption, battery innovation, and regional expansion.",technology,"India’s electric two-wheeler market: 2024 Growth Outlook. India’s electric two-wheeler market reached 9,60,000 units in 2024 and is projected to grow at a 28.5% CAGR, hitting 11 million units by 2033 (IMARC). Driven by FAME-II, EMPS 2024, and rising fuel costs, top players like Ola, Ather, and Bajaj lead the sector. Key growth areas include youth adoption, battery innovation, and regional expansion.",indias electric two wheeler market growth outlook indias electric two wheeler market reach unit project grow cagr hit million unit imarc drive fame ii emp rise fuel cost top player like ola ather bajaj lead sector key growth area include youth adoption battery innovation regional expansion,"Driven by FAME-II, EMPS 2024, and rising fuel costs, top players like Ola, Ather, and Bajaj lead the sector."
India’s new obsessions: Quick commerce & short drama apps,"Quick commerce in India crossed ₹7,500 crore in FY24, with 68% of metro users ordering at least twice a week. Short drama apps saw 300 million users in 2025, up 40% from 2023. Ad revenues hit ₹2,000 crore in 2024. As delivery platforms and content apps innovate, speed and personalisation are redefining urban India’s digital habits.",technology,"India’s new obsessions: Quick commerce & short drama apps. Quick commerce in India crossed ₹7,500 crore in FY24, with 68% of metro users ordering at least twice a week. Short drama apps saw 300 million users in 2025, up 40% from 2023. Ad revenues hit ₹2,000 crore in 2024. As delivery platforms and content apps innovate, speed and personalisation are redefining urban India’s digital habits.",indias new obsession quick commerce short drama app quick commerce india cross crore fy metro user order least twice week short drama app see million user ad revenue hit crore delivery platform content app innovate speed personalisation redefine urban indias digital habit,India’s new obsessions: Quick commerce & short drama apps.
